References,Family,Status,ID Number,Name,Name UD,Illustration,Gloss,English equivalent,Russian equivalent,CEFR level,Definition in Ukrainian,Definition in English,Definition in Russian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,,44,"так би мовити, XP",,"Коментарі, так би мовити, зайві.",,so to say,"так сказать, XP",С1,"Конструкція вживається при бажанні висловитися більш точно, точніше охарактеризувати [що-небудь]Theme. Також вживається як [застереження]Theme, пом'якшувальну рішучість якого л. затвердження","The construction is used when the speaker wants to express their thoughts more precisely, to characterize [something]Theme more precisely. Also the construction is used as a [disclaimer]Theme to soften one's resolution.","Конструкция используется при желании выразиться более точно, точнее охарактеризовать [что-нибудь] Theme. Также используется как [оговорка]Theme, смягчающую решимость некого утверждения.","Одне з питань розглядатиметься, так би мовити, [заднім числом]Theme. (Онлайн-ЗМІ «Новини Хмельницького «Є»», 2017)        ","Це для мене, як журналіста, був буденний факт, [робочий, так би мовити, момент]Theme. (Газета «День», 2002)        ","Зрештою, всі ми живемо, так би мовити, [у спільній оселі]Theme — Європі, на одній планеті. (Євген Пащенко ""На шляху до взаємного пізнання "", 1950)      ","Вона повинна запам'ятовуватися, бути яскравою, концертною і бути, так би мовити, [«на слуху»]Theme. (Онлайн-ЗМІ «Житомир.info», 2009)        ","Вже весною ці рослини мають знову, так би мовити, [“ожити”]Theme. (Онлайн-ЗМІ «Індустріалка», 2022)      ",XP,Clause or XP with parentheticals,Parenthetical,Not Applicable,"Pronoun, Verb",,,,,,,,,,Declarative,Colloquial,"так, би, мовити",,,,,,,,,,,,,,,,,,,,,,,Intersubjectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,45,VP в повному обсязі,,Відсотки також будуть нараховані в повному обсязі.,,in full,VP в полной мере,B1,"Конструкція означає, що деяка [подія]Action виконується без будь-яких обмежень, повністю, нічого не виключаючи.","The construction means that some [action]Action is performed without any restrictions, completely, with nothing excluded.","Конструкция означает, что некоторое [действие]Action выполняется без каких-либо ограничений, полностью, ничего не исключая.","Усім їм було в повному обсязі [надано невідкладну медичну допомогу]Action. (Онлайн-ЗМІ «UNIAN.NET», 2014)      ","На жаль, я [не можу пояснити ситуації]Action в повному обсязі, бо й сам керуюся лише вказівками згори. (Юрій Дольд-Михайлик ""У чорних лицарів"", 1964)    ","Уряд [забезпечить їх усіма необхідними засобами індивідуального захисту]Action в повному обсязі. (Онлайн-ЗМІ «LB.ua», 2020)            ","Після оформлення декретної відпустки на батька [грошова допомога буде надаватися йому]Action в повному обсязі. (Онлайн-ЗМІ «LB.ua», 2019).         ","Українські фахівці в повному обсязі [забезпечили виконання всіх операцій]Action у своєму секторі відповідальності. (Онлайн-ЗМІ «Мілітарний», 2021)        ",VP,Head and Modifier Construction,Modifier ,Prepositional Phrase,"Preposition, Adjective, Noun",,,,,,,,,,Not applicable,,"в, повному, обсязі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrestricted domain,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,46,у випадку NP-Gen Cl,,Відпустки надаються лише у випадку хвороби. ,,in case of,в случае NP-Gen Cl,А2,"Конструкція вказує на те, що [деяка ситуація]Situation має місце за наявності [певних супутніх обставин]Condition.     ",The construction indicates that [certain]Situation occurs under [certain circumstances]Condition.,"Конструкция указывает на то, что [некоторая ситуация]Situation имеет место при наличии [определенных сопутствующих обстоятельств]Condition.","Крім цього, створено достатній запас ліків, і у випадку якогось гострого захворювання пацієнту буде чим допомогти. <23         ===NONE=== ● ===NONE=== ● ===NONE=== ● 2015 ● ===NONE=== ● [Газета «Вінниччина»]        ",Інформація на карті буде оновлюватися у випадку отримання людиною певних пільг або послуг. <12         ===NONE=== ● ===NONE=== ● ===NONE=== ● 2011 ● 2011 ● [Онлайн-ЗМІ «Економічна правда»]        ,"Він закликав громадян утриматися від відвідання лісів у період пожежної небезпеки, а у випадку , якщо вони все-таки йдуть у ліс, дотримуватися заходів пожежної безпеки. 115         ===NONE=== ● ===NONE=== ● ===NONE=== ● 2010 ● 2010 ● [Онлайн-ЗМІ «UNIAN.NET»]        ","У випадку , якщо хоча б один член комісії не згоден з рішенням, яке пропонується до ухвалення, воно вважається не прийнятим. 81         ===NONE=== ● ===NONE=== ● ===NONE=== ● 2012 ● 2012 ● [Онлайн-ЗМІ «UNIAN.NET»]        ","Крім цього, у випадку лиха реєстрація туристичних груп скорочує час пошуку заблукалих чи постраждалих у незнайомій місцевості людей. </s>30         ===NONE=== ● ===NONE=== ● ===NONE=== ● 2019 ● ===NONE=== ● [Інтернет-газета «Версії»]        ","NP-Gen, Cl",Clause and Modifier Construction,Modifier ,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Declarative,,"у, випадку ",,,,,,,,,,,,,,,,,,Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,47,"(мова) filler (NP-Nom) йдеться про (те, що) ХР, Cl",,А в цьому проекті мова йдеться про дуже прості речі. ,,"the topic is, is about","речь Cop о том, что Cl",B1,"Конструкція виділяє деяке [ствердження] ContentOfSpeech як важливе для того, хто говорить, яке він хоче пояснити або наголосити.",The construction singles out some [statement] of ContentOfSpeech as important to the speaker that he wants to explain or highlight.,"Конструкция выделяет некоторое [утверждение] ContentOfSpeech как важное для говорящего, которое он хочет объяснить или выделить.","Тому від України на цьому етапі вимагаються передусім терпіння та витривалість, оскільки йдеться про [довгострокову стратегію]ContentofSpeech. (Максим Віхров ""Геополітика. Втримати штурвал"", 2019)       ","В угоді також йдеться про [намір зберегти транзит газу через Україну]ContentofSpeech. (Онлайн-ЗМІ «UNIAN.NET», 2021)       ","Але залежними від погодних умов нерідко є й представники сильної статі. Передусім йдеться про тих, [хто страждає на хвороби серцево-судинної системи]ContentofSpeech. (Онлайн-ЗМІ «Новини Хмельницького «Є»», 2013)   ","Франція пожертвує удвічі більше вакцин від коронавірусу, ніж планувала. Йдеться про [60 млн доз]ContentofSpeech. (Онлайн-ЗМІ «LB.ua», 2021) ","Зокрема, в заяві йдеться про те, що [створення нового турніру шкідливо вплине на розвиток футболу]ContentofSpeech. (Онлайн-ЗМІ «LB.ua», 2021)             ","ХР, Cl",Clause or XP with parentheticals,Parentheticals,Verb + Object,"Noun, Verb, Preposition, Pronoun, Conjunction",,,,,,,,,,Declarative,,"(мова), йдеться, про ",,,,,,,,,,,,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,48,"Cl, (але) швидше за все Cl",,"Швидше за все, це відбудеться 11 серпня. ",,most likely,"Cl, а/но скорее всего Cl",А2,"Конструкція позначає [ситуацію]Situation, яка з великою ймовірністю може статися на думку мовця. ","The construction denotes a [situation]Situation, which, according to the speaker, is highly likely to occur. ","Конструкция обозначает [ситуацию]Situation, которая с большой вероятностью может произойти по мнению говорящего, ","Швидше за все, [саме ці люди вже повірили в себе й у свою країну]Situation. (Газета «День», 2006)    ","Справа, швидше за все, [буде передана на подальший розгляд до Верховного Суду]Situation. (Газета «День», 2011)       ","Причому, [як і у випадку з готелями]Situation, швидше за все, [туристів будуть цікавити найбільш доступні пропозиції]Situation. (Онлайн-ЗМІ «Економічна правда», 2012)   ","За словами міністра, запис, швидше за все, [був зроблений та оприлюднений в інтернеті на чиєсь замовлення]Situation. (Онлайн-ЗМІ «Європейська правда», 2018)    ","Якщо у вас ще немає відносин, швидше за все [ви зустрінете свою другу половинку]Situation. (Журнал «НВ», 2012)     ",Cl,Connection Construction,Coordinator,Multiword Conjunction,"Conjunction, Adverb, Pronoun",,,,,,,,,,Declarative,,"(але), швидше, за, все ",NA,,,,,,,,,,,,,,,,,,,,,,,High degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,49,як то кажуть XP,,"У житті все може статися. Як то кажуть, ніколи не кажи ніколи. ",,as they say,"как говорится, XP",С2,"Конструкція виділяє у тексті [формулювання]Theme, яку вибирає мовець для висловлювання своєї думки. Мовець апелює до широко відомого поширеного виразу, що вживається в переносному значенні, є ідіомою або терміном.","The construction highlights in the text [an expression] Theme that the speaker chooses to express his opinion. The speaker refers to a well-known common expression used in a figurative sense, is an idiom or a term.","Конструкция выделяет в тексте [некоторую формулировку]Theme, которую выбирает говорящий для выражения своей мысли. Говорящий апеллирует к широко известному расхожему выражению, которое употребляется в переносном смысле, является идиомой или термином.","Може, я щось пропустив, таж ні, немає нічого. Як то кажуть, [коментарі тут зайві]Theme. (Газета «День», 2016)             ","І це ж, навєрно, не буде нікого вже? Це вже як то кажуть, [кінець світа чи шо]Theme? (""Усна історія Степової України. Том 8"", 2001)      ","Та тепер нічого не вдієш. Як то кажуть, [від долі не втечеш нікуди]Theme. (Валентин Ціпко ""Азербайджанські народні казки"", 1991)           ","Суддя зафіксував положення поза грою. [Йому, як то кажуть, видніше]Theme. (Газета «День», 1998)        ","Так Міша відбув служби цілий рік на місці — [від дзвінка, як то кажуть, до дзвінка]Theme. (Ірина Вовк ""На щиті. Спогади родин загиблих воїнів. Дебальцеве"", 202)      ",XP,Clause or XP with parentheticals,Parenthetical,Not Applicable,"Conjunction, Pronoun, Verb",,,,,,,,,,Declarative,Colloquial,"як, то, кажуть ",NA,,,,,,,,,,,,,,,,,,,,,,Intersubjectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50,"не лише XP, а (й) XP",,"Яна і Віталій — не лише колеги по роботі, а й давні друзі.",,"not only X, but also Y","не только XP, но и XP",B1,"Конструкція вводить [інформацію] ContentOfSpeech, яка доповнює сказане раніше. Слот XP заповнюється іменною групою, прийменниковою групою, прикметником або дієслівною групою.","This construction introduces [an additional piece of information]ContentOfSpeech that elaborates what has been previously said. The XP slot fills with a noun phrase, a prepositional phrase, an adjective or a verb phrase.","Конструкция вводит [информацию]ContentOfSpeech, которая дополняет сказанное ранее. Слот XP заполняется именной группой, предложной группой, прилагательным или глагольной группой.","Це невеличкий театр-студія для молоді. Там працювали і вчилися не лише [діти]ContentofSpeech, а й [дорослі]ContentofSpeech. (Інтернет-газета «Високий замок», 2012)  ","Тут можна не лише [мріяти]ContentofSpeech, а й [реально будувати плани]ContentofSpeech, (Інтернет-газета «Високий замок», 2006)         ","У межках святкування відбуваються не лише [лекції та освітні заходи]ContentofSpeech, а й [яскраві торжества, ярмарки та кінопокази]ContentofSpeech. (Інтернет-газета «День», 2020)         ","Оскаржуючи це рішення я намагаюсь не лише [захистити свої права]ContentofSpeech, але й [відстояти принципи правосуддя]ContentofSpeech. (Онлайн-ЗМІ «UNIAN.NET», 2011)     ","Це війна не лише [за майбутнє України]ContentofSpeech, а й [за долю цивілізації]ContentofSpeech. (Онлайн-ЗМІ «Детектор медіа», 2020)    ",XP,Connection Construction,Coordinator,"Negation, Multiword Conjunction","Conjunction, Negation Marker",,,,,,,,,,Declarative,NA,"не, лише, а (й) ",,,,,,,,,,,,,,,,,,,,,,,Discourse additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,51,"на перший погляд, Cl",,На перший погляд удома нічого не змінилося. ,,at first glance,"на первый взгляд, Cl",А2,"Конструкція використовується для визначення початкової, часто суб'єктивної [оцінки]Evaluation об'єкта або учасника, яка не завжди відповідає дійсності та в наслідку може змінитися.","The construction is used to determine the initial, often subjective [estimate]Evaluation of an object or participant, which does not always correspond to reality and may change as a result.","Конструкция используется для выражения первоначальной, часто субъективной [оценки]Evaluation объекта или участника, которая не всегда соответствует действительности и впоследствии может измениться. ","На перший погляд, [процес переходу відбувається не дуже швидко]Evaluation. Між тим, це зрозуміло, бо перехід – справа не одного дня. (Онлайн-ЗМІ «Челайн», 2022)        ","На перший погляд [може здатися, що рецепт щастя для автомобілістів знайдений]Evaluation. Проте, масової відмови від звичайного пального не спостерігається. (Онлайн-ЗМІ «UNIAN.NET», 2021)      ","На перший погляд, [руйнувань у місті не видно]Evaluation. Але достатньо відійти від вокзалу й починають частіше траплятися житлові будинки з вибитим склом і почорнілими від пожеж стінами. (Онлайн-ЗМІ «Gazeta.ua», 2022)        ","Це тільки на перший погляд [здається: процедура банальна і не варта уваги]Evaluation. (Андрій Кокотюха ""Чужі скелети"", 2009)         ","Цей візит на перший погляд [міг би здатися звичайним дипломатичним візитом]Evaluation в азійському турне делегації конгресменів. (Онлайн-ЗМІ «Європейська правда», 2022)        ",Cl,Clause or XP with parentheticals,Parenthetical,Prepositional Phrase,"Preposition, Numeral, Noun",,,,,,,,,,Declarative,,"на, перший, погляд",,,,,,,,,,,,,,,,,Contrast,,,,,,Equivocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,52,VP від імені NP-Gen,,"Я хочу вам подякувати від себе і від імені всіх тих, хто мене сюди направив. ",,on behalf of,VP от имени NP-Gen,A2,"Конструкція означає, що [учасник]Agent [говорить або діє]Action замість [групи людей або організації]Counteragent, за їх згодою або за їх дорученням.","The construction denotes that the [participant]Agent [speaks or performs]Action instead of [group of people or organization]Counteragent, with their consent or on their behalf.","Конструкция обозначает, что [участник]Agent [говорит или действует]Action вместо [группы людей или организации]Counteragent, с их согласия или по их поручению.","При цьому [він]Agent підкреслив, що [не може говорити]Action від імені [всієї асоціації]Counteragent. (Журнал «НВ», 2019)        ","Тому [представники київських профспілок]Agent кажуть, що [виступають]Action від імені [всіх працівників ВНЗ та студентів країни]Counteragent. (Інтернет-газета «Україна молода», 2013)        ","Що про неї [можна сказати]Action, крім похвали і подяки від імені [науки]Counteragent! (Ольга Гончар ""Микола Костомаров: постать історика на тлі епохи"", 2017)   ","[Злодії]Agent [діють]Action від імені [магазину, компанії чи соціальної установи]Counteragent. (Онлайн-ЗМІ «Gazeta.ua», 2022)           ","З новин в українських медіа [мені]Agent [стало відомо]Action, що Вам було направлено лист, написаний нібито від імені [трудового колективу телеканалу]Counteragent. (Онлайн-ЗМІ «LB.ua», 2013)  ","VP, NP-Gen",Head and Modifier Construction,Modifier,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Not applicable,Formal,"від, імені ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subject substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,53,NP імені NP-Gen ,,У парку імені Івана Франка у Львові тривають масштабні роботи з благоустрою парку.,,named by,NP имени NP-Gen ,A2,"Конструкція позначає, що [будь-яка громадська територія (вулиця, площа тощо), установа або колектив людей]Theme названі на честь [відомої людини, якої, найчастіше, вже немає в живих.]Name","The construction means that [any public area (street, square, etc.), institution or group of people]Theme is named after [a famous person, who, most often, is no longer alive.]Name","Конструкция обозначает, что [какая-либо общественная территория (улица, площадь и т. п.), учреждение или коллектив людей]Theme названы в честь [известного человека, которого, чаще всего, уже нет в живых.]Name","Святкові заходи відбудуться також у [Центральному парку культури та відпочинку]Theme імені [Лесі Українки]Name та в Луцькому замку. (Онлайн-ЗМІ «UNIAN.NET», 2013)  ","Раніше повідомлялося, що в Києві до 30 серпня частково обмежать рух транспорту на [мосту]Theme імені [Патона]Name. (Онлайн-ЗМІ «UNIAN.NET», 2018)   ","У Вінниці відзавтра відновлює роботу [академічний театр]Theme імені [Садовського]Name. (Онлайн-ЗМІ «Вежа», 2022)","Про це інформує [Полтавська обласна лікарня]Theme імені [М. В. Скліфосовського]Name. (Онлайн-ЗМІ «Kolo.news», 2022)  ","Бо він працював на [шахті]Theme імені [Засядька]Name. (Газета «День», 2016)    ","NP, NP-Gen ",Head and Modifier Construction,Modifier ,Nominal Pattern,Noun,,,,,,,,,,Not applicable,,імені,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,
,,,54,в результаті VP,,"Батьки забезпечують добробут дітей, а ті в результаті виростають успішнішими.",,as a result ,в результате VP,A2,"Конструкція позначає, що така ситуація відбувається внаслідок деяких дій, будучи їх [закономірним результатом]Result.","The construction is used to denote that a certain situation occurs as a result of some actions, being their [predictable result]Result.","Конструкция обозначает, что описываемая ситуация происходит вследствие некоторых действий, являясь их [закономерным итогом]Result.","КомпаніяAndaAir, рейс якої раніше призначили на 11:00, також переносили безліч разів. В результаті [пасажирам оголосили, що вони зможуть вилетіти в 00:00, проте попередили, що час може знову змінитися]Result. (Журнал «НВ», 2018)        ","Канада і Мексика висловили невдоволення новим законом, оскільки в результаті [США скоротили імпорт великої рогатої худоби і свиней]Result із цих країн. (Онлайн-ЗМІ «LB.ua», 2015)         ","Нагадаємо, що 15 квітня в соборі Нотр-Дам в Парижі спалахнула пожежа. В результаті [обвалилися шпиль та дах собору]Result. (Журнал «НВ», 2019)     ","Громадянська війна в Сирії триває з 2011 року, в результаті [загинули понад 400 тисяч осіб]Result. (Онлайн-ЗМІ «LB.ua», 2019)             ","Киянка випробувала на собі німецькі і американські ліки. В результаті [вона забула про колишні болі]Result. (Oнлайн-ЗМІ «UNIAN.NET», 2008)     ",VP,Head and Modifier Construction,Modifier ,Prepositional Phrase,"Preposition, Noun",,,,,,,,,,Not applicable,,"в, результаті ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achieved Result,,,,,,,,,,,,,
,,,55,VP в результаті NP-Gen ,,В результаті інциденту поранення отримали чотири людини.,,as a result of X,VP в результате NP-Gen ,B1,"Конструкція означає, що деяка [дія]Action або [подія]Event призводить до [певної ситуації]Result.",The construction is used to denote that some [action]Action or [event]Event leads to a [certain situation]Result.,"Конструкция обозначает, что некоторое [действие]Action или [событие]Event приводит к [определенной ситуации]Result.","В результаті [вибуху]Event [були розбиті кілька вікон]Result. (Журнал «НВ», 2019)      ","В результаті [професійних дій]Action в ході пошукових заходів [правоохоронці вийшли на слід нападника]Result. (Інтернет-газета «Фіртка», 2018)    ","Попередньо встановлено, що [пожежа сталася]Result в результаті [замикання електромережі]Event, повідомляється на сайті поліції. (Онлайн-ЗМІ «LB.ua», 2016)      ","В результаті [утеплення]Event [вартість опалення зменшиться на 25 %]Result. (Онлайн-ЗМІ «UNIAN.NET», 2019)    ","В результаті [дії вогню та високої температури]Event [знищено два та пошкоджено три автомобілі]Result, йдеться у повідомленні. (Онлайн-ЗМІ «UNIAN.NET», 2019)    ","VP, NP-Gen ",Head and Modifier Construction,Modifier ,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Not applicable,,"в, результаті ",NA,,,,,,,,,,,,,,Cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achieved Result,,,,,,,,,,,,,
,,,56,XP само як (і) XP ,,"Моє містечко було маленьким,так само як і його мислення.",,X iqually as Y,"XP, равно как (и) XP ",B1,"Конструкція виражає порівняння та підкреслює рівнозначність [одного об'єкта, учасника, властивості або дії]Comparee [іншому об'єкту, учаснику, властивості або дії]Standard.","This construction expresses a comparison and emphasizes an equivalence between [one object, participant, property, or action]Comparee and [another object, participant, property, or action]Standard. ","Конструкция выражает сравнение и подчеркивает равнозначность [одного объекта, участника, свойства или действия]Comparee [другому объекту, участнику, свойству или действию]Standard. ","Подати заявки батьки зможуть зразу [у декілька дитсадків]Comparee, так само як [зі школою]Standart. (Онлайн-ЗМІ «Версії», 2021)     ","[Від мови]Comparee багато що залежить, так само як і [від культури.]Standart. (Інтернет-газета «Високий замок», 2007)    ","[Кількість людей]Comparee змінюється щомісяця, так само як і [кількість власників житла]Standart, які їм його надают. (Онлайн-ЗМІ «Полтава 365», 2022)     ","Сама ж [супермодель]Comparee, так само як і [її рідні]Standart, замовчує історію про розлучення. (Онлайн-ЗМІ «Табло ID», 2010)      ","[Америка і Європа]Comparee, так само як і [міжнародні інституції]Standart, занурені в боротьбу з пандемією, яка йде поки по наростаючій. (Журнал «НВ», 2020)      ",XP ,Connection Construction,Subordinator,Multiword Conjunction,"Conjunction, Adverb",,,,,,,,,,Not applicable,Fornal,"само, як (і) ",,,,,,,,,,,,,,,,,Equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,57,"на думку NP-Gen, Cl ",,На думку експертів ціни на житло будуть рости й надалі. ,,according X's point of view,"по мнению NP-Gen, Cl ",A2,Конструкція висловлює думку [учасника ситуації]Participant з деякого питання і зазвичай вводить [оцінний вислів]Evaluation.,The construction expresses the opinion of [participant in the situation]Participant on some issue and usually introduces [evaluative statement]Evaluation.,Конструкция выражает мнение [участника ситуации]Participant по некоторому вопросу и обычно вводит [оценочное высказывание]Evaluation.,"На думку [медиків]Participant, [у багатьох випадках визначити брак вітамінів у організмі жінка може навіть не звертаючись до лікаря]Evaluation. (Журнал «НВ», 2020)     ","На думку [Президента]Participant, [школа має навчитись враховувати індивідуальні особливості кожної дитини]Evaluation. (Онлайн-ЗМІ «Чернiгiвщина: події і коментарі», 2017)      ","На думку [експертів]Participant, [пожежа могла виникнути в результаті підпалу або через коротке замикання електропроводкиEvaluation. (Онлайн-ЗМІ «UNIAN.NET», 2011)        ","На думку [журналістів]Participant, [бум попиту на залізничні рейси далекого прямування можна напряму пов'язати з проблемами в аеропортах]Evaluation. (Онлайн-ЗМІ «Європейська правда», 2022)         ","[Мені]Participant не раз спадало на думку [отаким чином утекти від себе]Evaluation. (Галина Пагутяк ""Записки Білого Пташка"", 2011) ","NP-Gen, Cl ",Clause or XP with parentheticals,Parenthetical,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Declarative,Formal,"на, думку",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nominal Pattern,,,,,,,,
,,,58,VP з нагоди NP-Gen ,,З нагоди відкриття салону діють суттєві знижки.,,on the occasion of,VP по случаю NP-Gen,B2,"Конструкція вказує на те, що одна [дія або ситуація]Cause є причиною іншої [дії]Action або [ситуації]Situation.",The construction indicates that one [action or situation]Cause is the cause of another [action]Action or [situation]Situation.,"Конструкция указывает на то, что одно [действие или ситуация]Cause является причиной другого [действия]Action или [ситуации]Situation. ","З нагоди [свята]Cause [ми підготували декілька привітань та листівок]Action, якими ви можете поділитися з близькими. (Журнал «НВ», 2020)  ","[Він довго не міг з дива вийти, звідки ж отакі люди беруться]Action, що не користаються з нагоди [помститися]Cause і відмовляються від волі. (Роман Іваничук ""Журавлиний крик"", 1973)       ","З нагоди [Дня Незалежності]Cause [вітаю всіх українців]Action! (Інтернет-газета «Кримська світлиця», 2005)           ","Неля вибрала годину, коли в Річинських з нагоди [дня народження Олени]Cause [зібралася вся ближча родина.]Situation. (Ірина Вільде ""Сестри Річинські"", 1964)       ","Дякуємо всім, хто долучився до [створення святкової атмосфери]Action з нагоди [30-річчя школи]Cause. (Інтернет-газета «Фіртка», 2018)            ","VP, NP-Gen ",Head and Modifier Construction,Modifier ,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Not applicable,,"з, нагоди ",,,,,,,,,,,,,,,Cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,59,VP разом з NP-Ins,,На даний час дитина перебуває разом з батьками. ,,X together with Y,VP вместе с NP-Ins,A1,"Конструкція виражає спільну [дію]Action, яку виконує деякий [учасник]Agent разом з іншим [учасником або групою учасників]Associated. Конструкція також може вказувати на те, що деякий [учасник] Agent разом з іншим [учасником або групою учасників]Associated є об'єктами цієї [дії]Action. (Приклади 3,4)","The construction expresses a joint [action]Action performed by some [participant]Agent together with another [participant or group of participants]Associated. The construction may also indicate that some [participant] Agent together with another [participant or group of participants]Associated are the objects of this [action]Action. (Examples 3,4)","Конструкция выражает совместное [действие]Action, которое выполняет некоторый [участник]Agent вместе с другим [участником или группой участников]Associated. Конструкция также может указывать на то, что некоторый [участник]Agent вместе с другим [участником или группой участников]Associated являются объектами этого [действия]Action. (Примеры 3,4)","Разом з [нашими колегами]Associated [ми]Agent [виявили]Action ці дві нові акули під час дослідження дрібного рибальства на узбережжях Мадагаскару і Занзібару. (Журнал «НВ», 2020)      ","Так, камери відеоспостереження одного із торгових центрів зафіксували, як [хлопчик]Agent [іде]Action разом з [якимось чоловіком]Associated. (Онлайн-ЗМІ «UNIAN.NET», 2019)  ","Також сонливість можлива, якщо разом з [антигістамінними]associated ви [приймаєте]Action [алкоголь]Associated. (Онлайн-ЗМІ «Українська правда», 2020)     ","Але вперше на лікування [їх]Agent [запросили]Action разом з [дружинами та дітьми]Associated. (Інтернет-газета «Фіртка», 2016)   ","[Він]Agent майструє для неї іграшки, разом з [нею]Associated [вивчає]Action італійську мову, яку почав забувати. (Юрій Дольд-Михайлик ""У чорних лицарів"", 1964)            ","VP, NP-Ins",Head and Modifier Construction,Modifier ,Multiword Preposition,Preposition,,,,,,,,,,Not applicable,,"разом, з ",,,,,,,,,,,,,,,,Comitative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60,VP в рамках NP-Gen,,Діємо в рамках закону.,,as a part of,VP в рамки NP-Gen,B2,"Конструкція означає, що деякий [об'єкт]Theme або [учасник]Participant характеризується через [область, обмежену фізичною або абстрактною межею]Limit.",This construction indicates that an [object]Theme or [participant]Participant is characterised through an [area bounded by a physical or abstract limit]Limit.,"Конструкция обозначает, что некоторый [объект]Theme или [участник]Participant характеризуется через [область, ограниченную физическим или абстрактным пределом]Limit.","В рамках [розслідування]Limit кримінальної справи призначено [ряд експертиз]Theme для з'ясування причин ДТП. (Онлайн-ЗМІ «UNIAN.NET», 2012)  ","В рамках [флешмобу]Limit [зірки]Participant також розповідають, заради кого вони залишаються вдома #IStayHomeFor. (Журнал «НВ», 2020)          ","""Наші ж [дії]Theme – в рамках [міжнародного права та міжнародних зобов'язань]Limit"", - наголосив Столтенберг.  (Інтернет-газета «Європейська правда», 2014)        ","[Поєдинок]Theme відбувся в рамках [благодійного турне]Limit киян ""MatchforPeace! StoptheWar!"" (Онлайн-ЗМІ «ТСН», 2022)    ","Про фінансування батальйону [це питання]Theme не в рамках [такого інтерв'ю]Limit. (Онлайн-ЗМІ «Громадське телебачення», 2015)   ","VP, NP-Gen",Head and Modifier Construction,Modifier,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Not applicable,,"в, рамках ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domain,,,,,,,,,,
